,start station name,end station name,number of trips
0,5 Corners Library,5 Corners Library,104
1,5 Corners Library,Astor Place,18
2,5 Corners Library,Baldwin at Montgomery,40
3,5 Corners Library,Bergen Ave,6
4,5 Corners Library,Brunswick & 6th,14
5,5 Corners Library,Brunswick St,26
6,5 Corners Library,Christ Hospital,80
7,5 Corners Library,City Hall,11
8,5 Corners Library,Columbus Drive,29
9,5 Corners Library,Communipaw & Berry Lane,1
10,5 Corners Library,Dey St,33
11,5 Corners Library,Dixon Mills,5
12,5 Corners Library,Essex Light Rail,9
13,5 Corners Library,Exchange Place,67
14,5 Corners Library,Fairmount Ave,16
15,5 Corners Library,Glenwood Ave,5
16,5 Corners Library,Grand St,3
17,5 Corners Library,Grove St PATH,31
18,5 Corners Library,Hamilton Park,14
19,5 Corners Library,Harborside,55
20,5 Corners Library,Heights Elevator,87
21,5 Corners Library,Hilltop,35
22,5 Corners Library,JC Medical Center,7
23,5 Corners Library,JCBS Depot,1
24,5 Corners Library,Jackson Square,3
25,5 Corners Library,Jersey & 3rd,9
26,5 Corners Library,Jersey & 6th St,16
27,5 Corners Library,Journal Square,22
28,5 Corners Library,Lafayette Park,5
29,5 Corners Library,Leonard Gordon Park,93
30,5 Corners Library,Liberty Light Rail,4
31,5 Corners Library,Lincoln Park,20
32,5 Corners Library,Manila & 1st,13
33,5 Corners Library,Marin Light Rail,4
34,5 Corners Library,McGinley Square,21
35,5 Corners Library,Monmouth and 6th,10
36,5 Corners Library,Morris Canal,4
37,5 Corners Library,Newark Ave,51
38,5 Corners Library,Newport PATH,83
39,5 Corners Library,Newport Pkwy,11
40,5 Corners Library,Oakland Ave,294
41,5 Corners Library,Paulus Hook,5
42,5 Corners Library,Pershing Field,365
43,5 Corners Library,Riverview Park,55
44,5 Corners Library,Sip Ave,120
45,5 Corners Library,Union St,11
46,5 Corners Library,Van Vorst Park,19
47,5 Corners Library,Warren St,20
48,5 Corners Library,Washington St,58
49,5 Corners Library,York St,13
50,Astor Place,5 Corners Library,27
51,Astor Place,6 Ave & W 33 St,1
52,Astor Place,Astor Place,69
53,Astor Place,Baldwin at Montgomery,13
54,Astor Place,Barrow St & Hudson St,1
55,Astor Place,Bergen Ave,9
56,Astor Place,Broadway & Battery Pl,1
57,Astor Place,Broadway & W 32 St,1
58,Astor Place,Brunswick & 6th,5
59,Astor Place,Brunswick St,3
60,Astor Place,City Hall,65
61,Astor Place,Columbia Park,2
62,Astor Place,Columbus Drive,2
63,Astor Place,Communipaw & Berry Lane,16
64,Astor Place,Dey St,3
65,Astor Place,Dixon Mills,3
66,Astor Place,Essex Light Rail,7
67,Astor Place,Exchange Place,22
68,Astor Place,Fairmount Ave,11
69,Astor Place,Grand St,9
70,Astor Place,Grove St PATH,80
71,Astor Place,Hamilton Park,16
72,Astor Place,Harborside,7
73,Astor Place,Hilltop,39
74,Astor Place,JC Medical Center,27
75,Astor Place,Jackson Square,18
76,Astor Place,Jersey & 3rd,4
77,Astor Place,Jersey & 6th St,1
78,Astor Place,Journal Square,97
79,Astor Place,Lafayette Park,85
80,Astor Place,Liberty Light Rail,30
81,Astor Place,Lincoln Park,14
82,Astor Place,Manila & 1st,16
83,Astor Place,Marin Light Rail,4
84,Astor Place,McGinley Square,73
85,Astor Place,Monmouth and 6th,9
86,Astor Place,Montgomery St,7
87,Astor Place,Morris Canal,3
88,Astor Place,Newark Ave,47
89,Astor Place,Newport PATH,6
90,Astor Place,Newport Pkwy,4
91,Astor Place,Oakland Ave,2
92,Astor Place,Paulus Hook,6
93,Astor Place,Pershing Field,22
94,Astor Place,Sip Ave,1947
95,Astor Place,Union St,12
96,Astor Place,Van Vorst Park,31
97,Astor Place,Warren St,9
98,Astor Place,Washington St,3
99,Astor Place,York St,9
100,Baldwin at Montgomery,5 Corners Library,27
101,Baldwin at Montgomery,Astor Place,17
102,Baldwin at Montgomery,Baldwin at Montgomery,109
103,Baldwin at Montgomery,Bergen Ave,16
104,Baldwin at Montgomery,Brunswick & 6th,56
105,Baldwin at Montgomery,Brunswick St,47
106,Baldwin at Montgomery,Christ Hospital,12
107,Baldwin at Montgomery,City Hall,133
108,Baldwin at Montgomery,Columbus Drive,14
109,Baldwin at Montgomery,Communipaw & Berry Lane,11
110,Baldwin at Montgomery,Dey St,18
111,Baldwin at Montgomery,Dixon Mills,31
112,Baldwin at Montgomery,Essex Light Rail,38
113,Baldwin at Montgomery,Exchange Place,325
114,Baldwin at Montgomery,Fairmount Ave,20
115,Baldwin at Montgomery,Garfield Ave Station,3
116,Baldwin at Montgomery,Glenwood Ave,1
117,Baldwin at Montgomery,Grand St,10
118,Baldwin at Montgomery,Grove St PATH,868
119,Baldwin at Montgomery,Hamilton Park,42
120,Baldwin at Montgomery,Harborside,40
121,Baldwin at Montgomery,Heights Elevator,4
122,Baldwin at Montgomery,Hilltop,139
123,Baldwin at Montgomery,JC Medical Center,65
124,Baldwin at Montgomery,Jackson Square,3
125,Baldwin at Montgomery,Jersey & 3rd,17
126,Baldwin at Montgomery,Jersey & 6th St,10
127,Baldwin at Montgomery,Journal Square,70
128,Baldwin at Montgomery,Lafayette Park,5
129,Baldwin at Montgomery,Leonard Gordon Park,1
130,Baldwin at Montgomery,Liberty Light Rail,45
131,Baldwin at Montgomery,Lincoln Park,29
132,Baldwin at Montgomery,MLK Light Rail,1
133,Baldwin at Montgomery,Manila & 1st,49
134,Baldwin at Montgomery,Marin Light Rail,21
135,Baldwin at Montgomery,McGinley Square,73
136,Baldwin at Montgomery,Monmouth and 6th,10
137,Baldwin at Montgomery,Montgomery St,54
138,Baldwin at Montgomery,Morris Canal,15
139,Baldwin at Montgomery,Newark Ave,94
140,Baldwin at Montgomery,Newport PATH,44
141,Baldwin at Montgomery,Newport Pkwy,99
142,Baldwin at Montgomery,Oakland Ave,11
143,Baldwin at Montgomery,Paulus Hook,15
144,Baldwin at Montgomery,Pershing Field,12
145,Baldwin at Montgomery,Riverview Park,14
146,Baldwin at Montgomery,Sip Ave,1124
147,Baldwin at Montgomery,Union St,12
148,Baldwin at Montgomery,Van Vorst Park,113
149,Baldwin at Montgomery,Warren St,19
150,Baldwin at Montgomery,Washington St,41
151,Baldwin at Montgomery,West Side Light Rail,4
152,Baldwin at Montgomery,York St,18
153,Bayside Park,Bayside Park,3
154,Bayside Park,Bethune Center,1
155,Bayside Park,Exchange Place,9
156,Bayside Park,Garfield Ave Station,3
157,Bayside Park,Grove St PATH,6
158,Bayside Park,Hilltop,1
159,Bayside Park,JC Medical Center,3
160,Bayside Park,JCBS Depot,2
161,Bayside Park,MLK Light Rail,1
162,Bayside Park,Morris Canal,1
163,Bayside Park,Sip Ave,3
164,Bayside Park,West Side Light Rail,1
165,Bergen Ave,5 Corners Library,18
166,Bergen Ave,Astor Place,16
167,Bergen Ave,Baldwin at Montgomery,59
168,Bergen Ave,Bergen Ave,39
169,Bergen Ave,Brunswick & 6th,1
170,Bergen Ave,Brunswick St,6
171,Bergen Ave,City Hall,85
172,Bergen Ave,Communipaw & Berry Lane,3
173,Bergen Ave,Dey St,1
174,Bergen Ave,Dixon Mills,4
175,Bergen Ave,Essex Light Rail,1
176,Bergen Ave,Exchange Place,92
177,Bergen Ave,Fairmount Ave,7
178,Bergen Ave,Glenwood Ave,2
179,Bergen Ave,Grand St,3
180,Bergen Ave,Grove St PATH,109
181,Bergen Ave,Hamilton Park,1
182,Bergen Ave,Harborside,2
183,Bergen Ave,Heights Elevator,3
184,Bergen Ave,Hilltop,29
185,Bergen Ave,JC Medical Center,7
186,Bergen Ave,Jackson Square,8
187,Bergen Ave,Jersey & 3rd,2
188,Bergen Ave,Jersey & 6th St,2
189,Bergen Ave,Journal Square,89
190,Bergen Ave,Lafayette Park,8
191,Bergen Ave,Liberty Light Rail,14
192,Bergen Ave,Lincoln Park,9
193,Bergen Ave,Manila & 1st,1
194,Bergen Ave,Marin Light Rail,2
195,Bergen Ave,McGinley Square,65
